#date,tavg,tmin,tmax,prcp,wspd,,
2020,5,25,30.1,19.5,38,0,11
2020,5,26,30.8,20.4,40.9,0,10
2020,5,27,32.9,22.3,41.8,0,12
2020,5,28,31.8,21.5,42.1,0,11
2020,5,29,32.4,20.2,41,0,13
2020,5,30,30.4,21.7,38.4,0,30
2020,5,31,29.7,20,39.1,0,12
2020,6,1,30.8,19.7,38.4,0,7
2020,6,2,29.5,20.6,39.8,0,9
2020,6,3,34.5,23.6,43.5,0,11
2020,6,4,34.5,24.3,43.7,0,15
2020,6,5,29,21.8,34.5,0,35
2020,6,6,25.4,19.8,31.8,0,35
2020,6,7,27.3,17.8,36.1,0,19
2020,6,8,25.4,16.8,32.4,0,17
2020,6,9,26.5,14.2,35.6,0,11
2020,6,10,30.3,17.3,39.5,0,11
2020,6,11,31.2,19.5,42,0,12
2020,6,12,32.5,18.9,40.6,0,18
2020,6,13,30,20.9,39.2,0,31
2020,6,14,28.7,19.2,36.4,0,14
2020,6,15,30.2,21.2,37.6,0,11
2020,6,16,30.2,20.9,39.2,0,18
2020,6,17,30.7,22.3,38.5,0,20
2020,6,18,31.5,21.4,38.6,0,16
2020,6,19,32.7,21.4,38.9,0,11
2020,6,20,30.9,21.8,40.4,0,NaN
2020,6,21,32.8,22.8,41.8,0,10
2020,6,22,33.4,21.6,42.4,0,11
2020,6,23,31.8,21.4,42.7,0,8
2020,6,24,34.1,22.8,42.9,0,10
2020,6,25,33.5,23.3,42.9,0,11
2020,6,26,34.8,25.8,42.9,0,15
2020,6,27,35.7,25.5,42.6,0,16
2020,6,28,31.5,23.6,41.2,0,25
2020,6,29,28.1,21.4,36.2,0,38
2020,6,30,30.2,18.2,37.1,0,9
2020,7,1,31,22.5,38.5,0,8
2020,7,2,31.3,20.5,40.5,0,11
2020,7,3,34.3,23.1,40.8,0,9
2020,7,4,35,25,43.1,0,13
2020,7,5,35.4,24.8,44.1,0,15
2020,7,6,36.2,23.9,45.1,0,18
2020,7,7,38.2,22.6,45.1,0,17
2020,7,8,34.8,24.4,43.5,0,19
2020,7,9,34.2,22.7,43.2,0,12
2020,7,10,36.6,24.5,42.9,0,8
2020,7,11,35.1,27.1,43.3,0,14
2020,7,12,36.3,26.8,45,0,16
2020,7,13,37.9,29.7,46.5,0,26
2020,7,14,38.9,26.4,45.6,0,23
2020,7,15,34.8,26.9,42.9,0,21
2020,7,16,33.6,24,43,0,9
2020,7,17,34.1,25.7,41.8,0,11
2020,7,18,33.6,23.6,45.1,0,11
2020,7,19,36.4,24.7,45.9,0,19
2020,7,20,34.5,24.9,45.4,0,11
2020,7,21,36.4,23.7,43.4,0,10
2020,7,22,34.6,25.6,42.6,0,NaN
2020,7,23,33.6,24.7,41.3,0,9
2020,7,24,32,25.7,39.2,0,9
2020,7,25,33,23.3,40.8,0,8
2020,7,26,34.8,25.5,42.9,0,10
2020,7,27,35.6,25.1,43.7,0,11
2020,7,28,38.1,25,45,0,11
2020,7,29,36.1,24.4,45.1,0,9
2020,7,30,37.3,26.3,47.1,0,8
2020,7,31,40.1,28.5,48.1,0,9
2020,8,1,36.8,28.4,43.9,0,11
2020,8,2,35.6,27.4,43.8,0,NaN
2020,8,3,35.6,27,45,0,NaN
2020,8,4,NaN,NaN,NaN,NaN,NaN
2020,8,5,34.4,23.5,44.1,0,NaN
2020,8,6,33.3,23.5,43.8,0,NaN
2020,8,7,31.8,23,40,NaN,NaN
2020,8,8,33.6,23,42,NaN,NaN
2020,8,9,34,23,43,NaN,NaN
2020,8,10,34.3,23,43,NaN,NaN
2020,8,11,36.1,29,43,NaN,NaN
2020,8,12,36.3,29,43,NaN,NaN
2020,8,13,38.2,31,46,NaN,NaN
2020,8,14,NaN,NaN,NaN,NaN,NaN
2020,8,15,NaN,NaN,NaN,NaN,NaN
2020,8,16,NaN,NaN,NaN,NaN,NaN
2020,8,17,NaN,NaN,NaN,NaN,NaN
2020,8,18,NaN,NaN,NaN,NaN,NaN
2020,8,19,NaN,NaN,NaN,NaN,NaN
2020,8,20,NaN,NaN,NaN,NaN,NaN
2020,8,21,NaN,NaN,NaN,NaN,NaN
